policy,chunk_id,episode,win,draw,loss,sap,sbf,mecha,cv
PassingMain_v2,4,0,0,1,0,91.35,21.0,0.10662296438475773,0.09630111294196607
PassingMain_v2,4,1,0,1,0,93.80833333333334,13.5,0.13072889008757105,0.05722927090970721
PassingMain_v2,4,2,0,1,0,92.06666666666666,17.0,0.13002389511248705,0.06968281384391023
PassingMain_v2,4,3,1,0,0,94.825,17.75,0.1297485825418093,0.07366719320223342
PassingMain_v2,4,4,1,0,0,95.71666666666667,14.5,0.12833303976138136,0.09826487016549806
PassingMain_v2,4,5,1,0,0,92.2,17.75,0.12084758483240109,0.0780970098904713
PassingMain_v2,4,6,1,0,0,91.41666666666667,18.25,0.1502326350299126,0.09137198096586721
PassingMain_v2,4,7,1,0,0,95.16666666666667,18.5,0.12184016092011057,0.09229492777854649
PassingMain_v2,4,8,1,0,0,94.90833333333333,19.5,0.10587079974031065,0.0743254246794097
PassingMain_v2,4,9,1,0,0,94.675,12.5,0.11976180754715993,0.06087507967692814
PassingMain_v2,4,10,1,0,0,96.11666666666666,19.0,0.12847605949038315,0.07682582996375326
PassingMain_v2,4,11,1,0,0,93.525,18.5,0.10637951606940527,0.05819302223725956
PassingMain_v2,4,12,1,0,0,92.4,15.0,0.12613022543963054,0.07969033490706738
PassingMain_v2,4,13,1,0,0,91.79166666666667,26.5,0.15563724255424413,0.11461172775358414
PassingMain_v2,4,14,0,1,0,95.23333333333333,16.0,0.1254241698815935,0.05872167570913289
PassingMain_v2,4,15,0,0,1,92.05833333333334,19.5,0.1450121260007835,0.06857880000080062
PassingMain_v2,4,16,1,0,0,92.325,19.0,0.15459558547811098,0.08710212252505926
PassingMain_v2,4,17,0,0,1,91.35833333333333,21.75,0.14552873537341424,0.06731306811814491
PassingMain_v2,4,18,1,0,0,91.975,19.25,0.1013441141580104,0.061416646569035394
PassingMain_v2,4,19,1,0,0,94.58333333333333,18.0,0.08127104643199697,0.034801662863785346
PassingMain_v2,4,20,0,1,0,97.15,18.5,0.10726348553323863,0.06414288743314726
PassingMain_v2,4,21,0,1,0,95.89166666666667,10.5,0.1195158012130313,0.06130511713241657
PassingMain_v2,4,22,0,1,0,93.44166666666666,14.25,0.1430610179761211,0.06475950961606117
PassingMain_v2,4,23,1,0,0,92.04166666666667,16.5,0.18286679787157584,0.05724448788819053
PassingMain_v2,4,24,1,0,0,96.00833333333333,14.5,0.08078295360857393,0.07855602203168958
PassingMain_v2,4,0,0,1,0,95.42500000000001,19.0,0.1277701432286607,0.0702714210212091
PassingMain_v2,4,1,1,0,0,91.06666666666666,19.5,0.11126766407024813,0.07255218863195899
PassingMain_v2,4,2,0,1,0,89.96666666666667,16.25,0.165395524810288,0.10054070268107204
PassingMain_v2,4,3,1,0,0,94.81666666666668,16.0,0.11521158931668347,0.0613315309938492
PassingMain_v2,4,4,1,0,0,93.675,18.25,0.09669639632021113,0.09302980396104674
PassingMain_v2,4,5,1,0,0,93.7,12.0,0.09091035987621189,0.05544441702260633
PassingMain_v2,4,6,1,0,0,95.48333333333333,16.0,0.1343904054819471,0.08723675045902797
PassingMain_v2,4,7,1,0,0,93.58333333333333,20.0,0.10069499657791464,0.0764772190976646
PassingMain_v2,4,8,0,1,0,93.00833333333334,14.5,0.15309908741444708,0.0654779119818998
PassingMain_v2,4,9,0,1,0,93.34166666666667,18.5,0.1005994268329907,0.061556561671649045
PassingMain_v2,4,10,0,1,0,94.41666666666667,18.5,0.12934122274987087,0.08783455774012841
PassingMain_v2,4,11,0,0,1,92.73333333333333,19.5,0.06271334226883672,0.044566359446929014
PassingMain_v2,4,12,0,1,0,93.79166666666666,14.25,0.11419637272715084,0.055706101900882016
PassingMain_v2,4,13,1,0,0,93.68333333333332,16.0,0.15342469379620913,0.08421408661545013
PassingMain_v2,4,14,1,0,0,93.78333333333333,17.25,0.14113350888145218,0.07457857082370933
PassingMain_v2,4,15,0,0,1,97.44166666666668,9.0,0.1057725961301263,0.060340267315326344
PassingMain_v2,4,16,1,0,0,93.50833333333334,19.5,0.15049517331949233,0.0850918011012236
PassingMain_v2,4,17,1,0,0,88.90833333333333,17.25,0.1970881653637911,0.10725479952433589
PassingMain_v2,4,18,0,0,1,94.18333333333334,16.5,0.10897827851663551,0.07492020497772026
PassingMain_v2,4,19,1,0,0,92.65833333333333,20.5,0.16350945219379437,0.06047565045952875
PassingMain_v2,4,20,1,0,0,93.14166666666667,18.25,0.11738779495791175,0.0676390899197154
PassingMain_v2,4,21,0,1,0,95.275,15.0,0.09343145742768046,0.05473463340008418
PassingMain_v2,4,22,0,1,0,95.35833333333333,16.5,0.12141547953719219,0.07393750920553777
PassingMain_v2,4,23,1,0,0,91.66666666666666,17.5,0.12041430896170865,0.07475864493596487
PassingMain_v2,4,24,0,1,0,94.69166666666666,15.0,0.14572445472844955,0.06260930618429444
