run_name,_step,eval/sap_mean,eval/draw_rate,eval/csi_sap_proxy,eval/n_episodes,eval/csi_proxy_n_ll,eval/sap_std,eval/win_rate,eval/loss_rate,eval/mecha_mean,_runtime,_timestamp,eval/csi_proxy_n_lw,wandb_run_id,created_at,condition,seed,lam_init,alpha,disc/swap_hinge_ll,disc/swap_hinge_lw,disc/bce_agent,disc/acc,disc/step,disc_update_skipped,loss/kl,gate/late_winning -> late_losing_shift,gate/late_losing -> late_winning_frac,gate/late_losing -> late_winning_shift,loss/clipped_surrogate,episode_steps,disc_health,disc/loss,iteration,r_style_mean,task_reward_sum,disc/gp_value,episode_sap,loss/lam,disc/acc_agent,disc_saturating,disc/bce_expert,disc/ess,loss/kl_term,disc/acc_expert,disc/swap_shift_ll,gate/late_winning -> late_losing_frac,disc/swap_shift_lw
MAGAIL-C+KL_seed0,524,85.022,0.2,0.03639971341098003,50.0,4533.0,3.820980735070223,0.7,0.1,0.11723668818271193,20751.496486894,1788818377.395423,30270.0,39zhjt3a,2026-09-07T16:13:45Z,MAGAIL-C+KL,0,1.0,0.131,0.0002083275467157364,0.0,0.5023941993713379,0.91015625,52.0,0.0,0.10709656774997711,0.1423443853855133,1.0,0.17080508172512054,0.006518963724374771,3000.0,saturating,1.075821042060852,525.0,3.639857126813695e-08,4.0,0.12438451498746872,80.86666666666666,0.1,0.8359375,1.0,0.4477923810482025,106.90872476776055,0.010709657333791256,0.984375,0.1727692037820816,0.9209284028324154,0.16999022662639618
MAGAIL-C+KL_seed1,524,85.78,0.32,-0.010443986478663958,50.0,5103.0,3.8178877231614177,0.58,0.1,0.12493669225674166,20470.207501499,1788818096.0429814,24095.0,to7g7shf,2026-09-07T16:13:45Z,MAGAIL-C+KL,1,1.0,0.131,0.00018775463104248047,0.0,0.4350351095199585,0.94140625,52.0,0.0,0.025231314823031425,0.14248128235340118,1.0,0.17128750681877136,0.002836408093571663,3000.0,saturating,1.0330910682678223,525.0,3.019968630724179e-08,16.0,0.1301295906305313,83.93333333333334,1.0,0.953125,1.0,0.46679985523223877,106.90872476776055,0.025231314823031425,0.9296875,0.17334194481372833,0.9244689221085759,0.17001871764659882
MAGAIL-C+KL_seed2,524,85.34000000000002,0.16,0.04825685588371187,50.0,6393.0,4.575310554122711,0.7,0.14,0.12349946817628257,20996.067756847,1788818621.8968627,28620.0,1z7gitub,2026-09-07T16:13:45Z,MAGAIL-C+KL,2,1.0,0.131,0.0001827389933168888,8.037779480218887e-06,0.4472670555114746,0.9575471878051758,52.0,0.0,0.017069905996322632,0.14119921624660492,1.0,0.17012448608875275,0.004148246254771948,3000.0,saturating,1.0163077116012573,525.0,1.818736450331926e-07,4.0,0.12272372841835022,90.2,1.0,0.9339622855186462,1.0,0.44517233967781067,86.75581425540422,0.017069905996322632,0.9811320900917053,0.17261287569999695,0.9193548387096774,0.16908499598503113
MAGAIL-C+KL_seed3,524,84.72266666666668,0.3,0.025234624620390833,50.0,2773.0,4.451583688232015,0.64,0.06,0.11760607019888462,20591.365042432,1788818217.2528157,28254.0,v0wbpy5s,2026-09-07T16:13:45Z,MAGAIL-C+KL,3,1.0,0.131,0.00010713096708059311,0.0,0.48047465085983276,0.92578125,52.0,0.0,0.08579491078853607,0.14179886877536774,1.0,0.1717727780342102,0.005496966186910868,3000.0,saturating,1.0773323774337769,525.0,-3.6557516125412803e-08,8.0,0.1362469345331192,83.56666666666666,0.1,0.90625,1.0,0.45996806025505066,106.90872476776055,0.008579491637647152,0.9453125,0.1743403673171997,0.9221085759244689,0.16997016966342926
MAGAIL-C+KL_seed4,524,86.04666666666668,0.24,0.037615106623348105,50.0,2181.0,3.642496091662663,0.7,0.06,0.12476790642939839,20415.085784931,1788818040.8794563,28173.0,2sqhkqop,2026-09-07T16:13:45Z,MAGAIL-C+KL,4,1.0,0.131,0.00014493148773908615,0.0,0.4390393793582916,0.953125,52.0,0.0,0.0175868421792984,0.14156873524188995,1.0,0.1713618040084839,0.003657577559351921,3000.0,saturating,1.0354981422424316,525.0,5.16573592790337e-08,8.0,0.13903257250785828,90.03333333333333,1.0,0.9453125,1.0,0.456556499004364,106.90872476776055,0.0175868421792984,0.9609375,0.17406050860881805,0.9217151848937845,0.1701754331588745
MAGAIL-C_seed0,149,67.74666666666668,0.38,-0.013689216268656157,50.0,10768.0,6.583865801251488,0.4,0.22,0.1405342373088499,6667.103493714,1788804292.8986692,16494.0,851bnai6,2026-09-07T16:13:45Z,MAGAIL-C,0,1.0,0.131,0.0,0.00014028791338205338,0.5429510474205017,0.88671875,15.0,0.0,2.272488594055176,0.14097177982330322,1.0,0.17204298079013824,0.008264178410172462,3000.0,saturating,1.1269457340240479,150.0,2.2649764730431343e-08,0.0,0.11763057112693787,68.96666666666667,0.0,0.8125,1.0,0.46552228927612305,106.90872476776055,0.0,0.9609375,0.1763526350259781,0.9142407553107789,0.16936127841472626
MAGAIL-C_seed1,149,59.223333333333336,0.34,-0.029053306804419865,50.0,11971.0,7.290768135114434,0.42,0.24,0.14378248653871575,6432.66607466,1788804058.4145486,16898.0,ed3dyc4e,2026-09-07T16:13:45Z,MAGAIL-C,1,1.0,0.131,0.0,0.00010903365910053253,0.5780854821205139,0.8359375,15.0,0.0,3.334825277328491,0.14162003993988037,1.0,0.1711312085390091,0.00864371471107006,3000.0,saturating,1.1665650606155396,150.0,-1.0331471234081846e-09,4.0,0.128264382481575,48.96666666666666,0.0,0.71875,1.0,0.45956096053123474,106.90872476776055,0.0,0.953125,0.17605243623256683,0.9130605822187254,0.1702057272195816
MAGAIL-C_seed2,299,33.721333333333334,0.32,-0.08209920251983654,50.0,15041.0,5.126388202233616,0.38,0.3,0.1260533831036104,12608.359797429,1788810234.156463,15566.0,7qf6g2ig,2026-09-07T16:13:45Z,MAGAIL-C,2,1.0,0.131,0.00048587843775749207,0.0002824077382683754,0.5766520500183105,0.8359375,30.0,0.0,6.722777843475342,0.14560304582118988,0.9992686494392979,0.17458483576774597,0.009009486064314842,3000.0,healthy,1.2010053396224976,300.0,-4.6014786647674555e-08,8.0,0.12358520179986954,27.23333333333333,0.0,0.75,1.0,0.4961583912372589,106.90872476776055,0.0,0.921875,0.1798596829175949,0.9228953579858379,0.17180564999580383
MAGAIL-C_seed3,149,63.09400000000001,0.32,-0.03952502650643652,50.0,9482.0,6.418745775720779,0.44,0.24,0.14366210936460055,6608.001785514,1788804233.8480349,19115.0,3so7hfcl,2026-09-07T16:13:45Z,MAGAIL-C,3,1.0,0.131,0.0,0.00015805428847670555,0.5248323678970337,0.89453125,15.0,0.0,2.385819911956787,0.14030225574970245,1.0,0.17173582315444946,0.008286471478641033,3000.0,saturating,1.1225908994674683,150.0,-8.185704558627549e-08,-4.0,0.1308499127626419,68.96666666666667,0.0,0.8359375,1.0,0.4659602642059326,106.90872476776055,0.0,0.953125,0.17606143653392792,0.9114870180959874,0.16906340420246124
MAGAIL-C_seed4,299,22.350666666666665,0.26,-0.09897953415445207,50.0,13885.0,4.461271567613879,0.4,0.34,0.15110809247034904,12132.291830525,1788809758.0659041,17722.0,fm8ttv3c,2026-09-07T16:13:45Z,MAGAIL-C,4,1.0,0.131,0.0006083110347390175,0.00030539603903889656,0.6117249727249146,0.80859375,30.0,0.0,5.073164939880371,0.14795516431331635,0.9990248659190639,0.17701074481010437,0.008261037059128284,3000.0,healthy,1.232855200767517,300.0,3.6875405839964515e-08,-12.0,0.11603628098964691,29.5,0.0,0.65625,1.0,0.4996117651462555,106.90872476776055,0.0,0.9609375,0.1827773004770279,0.9303697875688435,0.17409555613994598
